,user_name,user_description,user_location,user_verification,date,text,hashtags,source,retweets
0,PanfilLera,,,False,2022-06-20 02:22:32,"A little good news. The Sumatran rhinoceros are critically endangered, with perhaps a total of 80 adults dwelling in the forests of Sumatra. They are very hard to find.

Now a baby rhino has been born in Way-Kambas-Nationalpark! The first in a long time. 

#Climate #nature",,Twitter Web App,1
1,GehlhausenLarhonda,,,False,2022-06-20 02:10:38,"A little good news. The Sumatran rhinoceros are critically endangered, with perhaps a total of 80 adults dwelling in the forests of Sumatra. They are very hard to find.

Now a baby rhino has been born in Way-Kambas-Nationalpark! The first in a long time. 

#Climate #nature",,Twitter Web App,0
2,Mike Hudema,"#Climate Campaigner focusing on addressing the #climatecrisis, building #greenjobs & a #GreenNewDeal. Let's join together and change the world!",Unceded Squamish Territory,True,2022-06-17 23:32:03,"A little good news. The Sumatran rhinoceros are critically endangered, with perhaps a total of 80 adults dwelling in the forests of Sumatra. They are very hard to find.

Now a baby rhino has been born in Way-Kambas-Nationalpark! The first in a long time. 

#Climate #nature https://t.co/kbgD17Wwpj",,Buffer,279
3,OPH Rescue,"OPH Rescue brings dogs and cats from overcrowded shelters to foster homes in MD, DC, PA & VA, and matches them with adoptive families.","VA, DC, MD, PA",False,2022-06-16 15:14:45,"Sumatran Rhinoceros has his smile camera ready! This  75lb lab/hound mix is a big, sweet, love bug. 
See more about him and apply here!
https://t.co/njYSqHRpYB
#rescuedogs #hounddog #hounds #adoptable https://t.co/qzBJyqZUdB",,Twitter Web App,4
4,Sudan the Rhino fans,"Sudan, the last male Northern White Rhino, is gone. Please honour him by donating to @olpejeta & @savetherhino to protect other rhinos.",Canada,False,2022-06-14 16:13:38,"@burtonlim Hi Mr. Lim, I wanted to explore donating a rare Sumatran rhinoceros artifact to the ROM. It has a remarkable origin.  To whom would I speak?  Thank you.",,Twitter for iPad,0
5,TroodonVet,A troodontid who tries to be the best at art and science! not really posting art much (sometimes post) and will retweet mostly science and art,Somewhere in Cretaceous Period,False,2022-06-14 04:58:25,"Dicerorhinus sumatrensis harrissoni, also known as eastern sumatran rhinoceros, is the smallest of all sumatran rhinos. There used to be attempt from malaysia to save them, but failed. Currently there are 15 living in East Kalimantan, with one of them named ""Pahu"" in captivity. https://t.co/ajvG6cvD6a",,Twitter for Android,1
6,TroodonVet,A troodontid who tries to be the best at art and science! not really posting art much (sometimes post) and will retweet mostly science and art,Somewhere in Cretaceous Period,False,2022-06-14 04:58:20,"Dicerorhinus sumatrensis sumatrensis, also known as western sumatran rhinoceros, is the most well known and numerous subspecies in this current time. Once ranged across Peninsular Malaysia to all of Sumatra, there are &gt;80 of them. But as of 24th March 2022, a new baby was born! https://t.co/TcNg1bu5Ya",,Twitter for Android,1
7,TroodonVet,A troodontid who tries to be the best at art and science! not really posting art much (sometimes post) and will retweet mostly science and art,Somewhere in Cretaceous Period,False,2022-06-14 04:58:11,"Dicerohinus sumatrensis lasiotis, also known as northern sumatran rhinoceros, used to ranged from china, bangladesh, and malaysia. These rhinos used to be quite common in china that the wine vessel makers can depict the accurately! https://t.co/Gx70qAnvb6",,Twitter for Android,2
8,TroodonVet,A troodontid who tries to be the best at art and science! not really posting art much (sometimes post) and will retweet mostly science and art,Somewhere in Cretaceous Period,False,2022-06-14 04:57:55,"Finally my drawings are done... 

Today, i'll introduce you to Dicerohinus sumatrensis or also known as Sumatran #Rhinoceros! Despite being named ""sumatran"", these rhinos used to have wide distribution across asia, from Borneo to Bangladesh, and as far north of China! https://t.co/JpJlssH5Ha",,Twitter for Android,20
9,James Rowley,"Fan of Looney Tunes (especially Roadrunner and Wile E Coyote), Disney and Dinosaurs.
Animator and voice actor (Roadrunner)
Art request (open)
Age 23","Kent, Canterbury, UK",False,2022-06-20 22:06:10,@PlanetZooGame My favourite is Howletts Wildlife Park. They have reintroduced several Western Lowland Gorillas back into the wild and are part of a breeding programme to help save the Eastern Black Rhinoceros from extinction. https://t.co/8ZUCVOhjSQ,,Twitter Web App,0
