,user_name,user_description,user_location,user_verification,date,text,hashtags,source,retweets
0,JustinBonanza,random mash-up of @justinbieber @jtimberlake @JustinTrudeau tweets,,False,2022-06-23 03:26:34,Syria made history launching Does Northern white rhinoceros,,avmtest,0
1,Makio Gaminor,Artist / Conservationist  🥑 I make art about the protection and regeneration of the environment and ecosystems. And I am looking for comrades around the world.,A place with a nice breeze,False,2022-06-20 03:28:08,"The northern white rhinoceros is on the verge of extinction due to poaching for their horns and the failure of conservation efforts due to armed conflict.

We should learn about the eradication of species. What is more important than the economy? 
And No war! https://t.co/v0B26RArpZ",,Twitter Web App,2
2,Grimm Nevada,"Conservative, writer, artist, Common sense person, living in a sea of zombies, crusher of fools, Dragon slayer.",,False,2022-06-20 01:52:37,"Here we see a touching photo of a male northern white rhinoceros by the name of Sudan. At the time this photo was taken, Sudan was widely believed to be the very last of all northern white rhinos in existence. He passed in March of 2018. https://t.co/BYJ7uw1lYh",,Twitter Web App,0
3,Scientific Reports,"Online & #openaccess. A primary research publication from @NaturePortfolio, covering all areas across the natural sciences, medicine and engineering.",London,True,2022-06-16 11:35:48,"In their elegant study, @DrukkerMicha, Sebastian Diecke et al., uncover the potential of iPSCs to help save the northern white rhinoceros from extinction: https://t.co/TD0deAyYtR. To learn more, check out their paper in the new #stemcells collection.",,Twitter Web App,0
4,Automated,Just a twitter bot who tweets a  𝓐𝓾𝓽𝓸𝓶𝓪𝓽𝓮𝓭 tweet,Automated,False,2022-06-23 09:13:24,"A Kouprey is never depressed , unless it is a russian one.",,"Cheap Bots, Done Quick!",0
5,veggie_bot,facts are oppressive,inside the computer,False,2022-06-22 10:50:57,I've never consumed a kouprey. 🐑,,"Cheap Bots, Done Quick!",0
6,BFFBOT,"Hi! I'm a robot with a tonne of new friends I cant WAIT to introduce you to!

I was made using https://t.co/fz3bB2yIJg",,False,2022-06-21 15:33:16,Robert is a new friend! He is a buff Kouprey with a alarming talent in the area of Skateboarding.,,"Cheap Bots, Done Quick!",0
7,Automated,Just a twitter bot who tweets a  𝓐𝓾𝓽𝓸𝓶𝓪𝓽𝓮𝓭 tweet,Automated,False,2022-06-21 04:16:04,"A Kouprey is often Drunk, unless it is an asian one.",,"Cheap Bots, Done Quick!",0
8,Just a curious person,"What's your answer? A new question every 30 minutes! Follow to question your life!
#why #meme #questioning",,False,2022-06-20 01:23:05,Which would you rather a be a Kouprey or a Dunlin,,"Cheap Bots, Done Quick!",0
9,Automated,Just a twitter bot who tweets a  𝓐𝓾𝓽𝓸𝓶𝓪𝓽𝓮𝓭 tweet,Automated,False,2022-06-19 16:44:15,"A Kouprey is rarely horny , unless it is an asian one.",,"Cheap Bots, Done Quick!",0
10,where's that social worker,where's peter's social worker? will graham is on the case. a bot-in-progress by @hapax_l.,,False,2022-06-19 06:18:33,"Peter, is your social worker in that kouprey?",,"Cheap Bots, Done Quick!",0
11,veggie_bot,facts are oppressive,inside the computer,False,2022-06-17 22:53:21,I've never masticated a kouprey. 🐘,,"Cheap Bots, Done Quick!",0
12,edmondpogi,,,False,2022-06-15 04:17:46,Facts about Kouprey https://t.co/Y41UL4HLqV,,IFTTT,0
13,RADHESHYAM BHATI,,,False,2022-06-23 14:00:27,"@NNJNorth @ShantiKDhariwal @ashokgehlot51 
Accident may occur. Please take necessary action. Ward no 26 north jodhpur, ADD:- Inside jalori gate, baiji ka talab, opposite of main gate of devali house. https://t.co/N3BO1HM3mk",,Twitter Web App,0
14,NotSoNice,"Common sense is not a gift, it’s a punishment. Because you have to deal with everyone who doesn’t have it.","Patiala, India",False,2022-06-23 02:09:48,"@AdnanAliKhan555 BaiJi, Already bnaa ditta, retire karkey",,Twitter for iPhone,0
15,Joel Wing,"Iraq analyst at Musings On Iraq Blog. Movie, music, comic book, basketball lover. Oakland Public High School teacher by profession.","Berkeley, CA",False,2022-06-22 23:23:50,Jun 22 2018 Police told villagers in Baiji dist Salahaddin to leave Then confiscated IDs of more than 50 families to pressure them to leave Part of forced evictions https://t.co/gAqLgQrb8M,,Twitter Web App,0
16,SearchingSoul,,,False,2022-06-22 13:16:09,"@FarmStudioz 
Baiji, any update on today's farmer's + Khap's meeting?",,Twitter Web App,0
