,user_name,user_description,user_location,user_verification,date,text,hashtags,source,retweets
0,𓆩☾♫Jøzëlyn♬☽𓆪,✎𝕣𝕠𝕓𝕝𝕠𝕩 𝕡𝕝𝕒𝕪𝕖𝕣✐ ٭ ✩𝕝𝕠𝕧𝕖 𝕛𝕠𝕚𝕟𝕚𝕟𝕘 𝕘𝕚𝕧𝕖𝕒𝕨𝕒𝕪𝕤✩ ٭ ☁︎𝕝𝕠𝕧𝕖 𝕒𝕟𝕚𝕞𝕒𝕝 𝕔𝕣𝕠𝕤𝕤𝕚𝕟𝕘☁︎ ٭ 𓃠𝕠𝕓𝕤𝕖𝕤𝕤𝕖𝕕 𝕨 𝕔𝕒𝕥𝕤𓃠,PST,False,2022-06-23 03:06:40,"Trading This!! ♡♡
•R sugar glider
•R golden penguin
•Golden walrus
•x4 ibexs
•R fg golden rat
•x4 brown spaniel dogs
•R mega monkey
•R woolly mammoth
#adoptme #adoptmeoffers #adoptmetrading",,Twitter for Android,2
1,Dona Artemis 🦉🇪🇺🐙,"Quant’è bella giovinezza,che si fugge tuttavia! Chi vuol esser lieto, sia: di doman non c’è certezza - I HATE Brexit and always miss words out in my Tweets",Cylon-Occupied Caprica ,False,2022-06-21 20:21:49,@photonblasters Frankly I love the show! I’m older and white and I really don’t get the hate it’s getting at all! I love the Scott Pilgrim/Buffy vibes. Fingers crossed it substations itself,,Twitter for iPhone,0
2,primates every day,"primate posts all day every day, no pet primates❌, if id is wrong feel free to correct me ! insta:internetprimatealliance","not a bot, just dedicated",False,2022-06-20 17:01:03,white headed marmoset https://t.co/Y6NQxIXulK,,Twitter for iPhone,8
3,Rachel (they/them),Veterinarian and neuroscience researcher at Johns Hopkins University. Science is good.,Baltimore,False,2022-06-17 16:30:54,@ApeInitiative That sweet face reminds me of a study describing marmoset facial features that correspond to self-domestication related behaviors. I wonder if their middle part is like their white spot! https://t.co/ijKbN8fIP2,,Twitter for Android,0
4,Dona Artemis 🦉🇪🇺🐙,"Quant’è bella giovinezza,che si fugge tuttavia! Chi vuol esser lieto, sia: di doman non c’è certezza - I HATE Brexit and always miss words out in my Tweets",Cylon-Occupied Caprica ,False,2022-06-14 09:54:18,@BadMedicalTakes Apples are to blame again! First they cause the original sin and kill Snow White and then caused polio! Why are these lethal fruits still on the market?,,Twitter for iPhone,0
5,Climate and Health Alliance,"We're building a powerful health movement for climate action & sustainable healthcare.

Authorised by F. Armstrong, Climate and Health Alliance, Melbourne.",Australia,False,2022-06-23 13:40:20,"🇧🇷 Brazil’s iconic golden lion tamarin has been saved from extinction.

Work is now underway to protect the other three species — the black lion tamarin, golden-headed lion tamarin, and black-faced lion tamarin.
https://t.co/WU42XRSUXn https://t.co/e4BaRqNYiT",,Twitter Web App,0
6,Laurence Culot,"Mum, primatologist and field ecologist, assistant professor at the Sao Paulo State University, Rio Claro, Brazil","Rio Claro, Brasil",False,2022-06-22 23:21:44,To know a little bit more about the natural history of the black lion tamarin and the black goggled tanagers ;-) https://t.co/gQWfZIgEUJ,,Twitter for Android,2
7,GeekysCorner,I draw on my main @GeekyTheArtist • I'm asexual biromantic and go by any pronouns under the sun • I joke around here to avoid my crippling anxiety,Gay Land With The Bois,False,2022-06-22 02:17:28,"Cotton Top Tamarin, Crab Eating Macaque, Crested Black Macaque, Dall's Sheep, Daubenton's Bat, Domestic Dog, Donkey, Doria's Tree Kangaroo, Dugong, Dwarf Cavy, Dwarf Mongoose, Eastern Cottontail Rabbit, Eastern Grey Kangaroo, Elk, Euro (Wallaroo Subspecies), European Bison,",,Twitter for Android,0
8,Wildking123,"Epic King of the Wild
No NSFW18 allowed here please, I respect all who come here though, I don’t wanna harm anyone, I promise my friends that, no matter what^^","Michigan, USA",False,2022-06-21 13:39:20,"@DeLadysigner @PlanetZooGame @PlanetCoaster Although I love this pack and the animals in it, I think it would’ve been great if these were in it too, wouldn’t you agree Deladysigner ^^?

Black Rhino
Red Wolf
Golden Lion Tamarin
Tasmanian Devil https://t.co/6LoJTeKY3N",,Twitter Web App,0
9,DFO Jorhat (T) Division,Nature's 🌳 Guardian 💂,"Jorhat, India",False,2022-06-23 14:24:27,A Bengal Slow Loris was rescued from Titabor and released into Hollongapar Gibbon Sanctuary today @CMOfficeAssam @cmpatowary @assamforest @mkyadava https://t.co/bUtFGvsjwi,,Twitter for Android,0
10,MOSES,....,"Arunachal Pradesh, India",False,2022-06-21 13:05:51,"@EastMojo It’s intriguing how and why was it named Bengal slow Loris, When it’s only found in The Northeast? Can someone kindly enlighten me!!",,Twitter for iPhone,0
11,NV Raja Shekar,I am a retired Forest officer and wildlifer. Enjoy watching wildlife videos. Wish to spread awareness about Forest Conservation and wildlife protection.,"Hyderabad, India",False,2022-06-18 00:58:49,Relocation of two Bengal slow Loris in Manipur. #wildlife https://t.co/ee57AgW2yP,"[{'text': 'wildlife', 'indices': [48, 57]}]",Twitter for iPhone,0
12,SEA Today News,"See Indonesia, See The World. Your everyday news around Southeast Asia",Indonesia,True,2022-06-22 06:33:21,"Wild Rescue Unit Team of West Sumatra Natural Resource and Conservation Agency, Tuesday (6/21), released a #sunda slow loris into the wild at #GunungMarapiNaturalPark in Agam Regency.

The male sunda slow loris was found by a local in #TanahDatar Regency, Monday (6/20). #SEAToday https://t.co/TIAl0nzcDq","[{'text': 'sunda', 'indices': [107, 113]}]",Twitter Web App,3
