,Unnamed: 0,user_name,user_description,user_location,user_verification,date,text,hashtags,source,retweets
0,0,Not The Krookodile Hunter 🇲🇽,Hola seguidores.  Estoy de incognita para que no me cachen y me vuelvan a suspender.  Desde aquí pueden subscribirse a mi canal en YouTube.,"Richmond, CA",False,2022-06-22 10:48:30,"@HarpyGoth Brad the Roseate Skimmer
Ryder the Knob Billed Duck
Plutarch the Horned Puffin
Pines the Long Tailed Pangolin. https://t.co/SPWAo9BC6o",,Twitter for Android,0
1,1,Saravanakumar CS,,,False,2022-06-18 09:08:30,@save_pangolin @Vikash_BR @UtkarshSingh_ fuckin arse... if u r worried about what to do after 4 years do not apply... no one is compelled... only youth loving their nation will select agnipath.. others can sell ground nut and save for pension,,Twitter for Android,0
2,2,The Left isn't divided the center is 🐌🍄🐙🦔😷🐌,"Lennonist dreamer, peacenik. Snark and sarcasm are par on my public course.",🐢🏝,False,2022-06-17 12:56:51,"If there’s anyone around in 2622 maybe they’ll settle on the pangolin…

“Ground zero for the Black Death finally found after 600 years” by @MetroUK 
https://t.co/uzTC9sZ9AV",,Twitter for iPhone,0
3,3,Phillip Templo Jr.,"Pathology Residency Program Director @ https://t.co/t1QFgDKh4y
• Former Trainee @ https://t.co/w4URd92J46 •
YouTube: https://t.co/PEu6J8E93E
ResearchGate: https://t.co/HVepCYNjb9 •
100% INTJ",Manila: All views are my OWN,False,2022-06-23 17:23:47,"@pripri_gosakto If they tell you once again na may dugong kastila sila especially if they don't look like they have, ask them,      how many drops ?. 😎",,Twitter Web App,0
4,4,RENO🐊🐊,no way….he just ate my hair :3c,Your moms house,False,2022-06-23 16:16:45,@fizzygoop Well sucks to suck dugong I have a 92 overall average,,Twitter for iPhone,0
5,5,atap jebol,salonpas kiyowo,kilometer Terakhir,False,2022-06-23 14:23:27,do i look i give a fuck?,,Twitter for Android,0
6,6,chang,"GENDAH FLUID
she/her/they/them",Milliways,False,2022-06-23 14:23:09,"Being dugong Kastila as a Filipino means your ancestors were either settler-colonizers or were taken advantage of by said settler-colonizers. Not something to take pride in, really. https://t.co/oD6e2fqFVR",,Twitter for Android,0
7,7,Charlie Bird,Once a voice for voiceless. Now (like most) an echo. Harping on about politics. Modern-day killing of endangered/vulnerable sea turtle/dugong is indefensible.,Australia ,False,2022-06-23 14:13:51,"Endangered/vulnerable sea turtle. Australia.

Rampant, illegal cruelty. Unpoliced.

This is an example of what is routinely happening to the now endangered and vulnerable sea turtle and dugong, Australia-wide - from motorboats.

Cruelty is cruelty.

Unpoliced. Care factor = 0 https://t.co/TjtMGjcqCf https://t.co/5zPueqIF7j",,Twitter Web App,1
8,8,Oona Paredes🌺,UCLA Asian Lang&Cult prof ▪ Anthropologist/ethnohistorian of Higaunon Lumads & other Indigenous peoples of Southeast Asia ▪ Mindanawon ▪ she/her/siya,"Planet Earth, mostly",False,2022-06-23 14:12:00,@pripri_gosakto I'd rather be part-dugong https://t.co/ZtE22XUjDU,,Twitter for Android,0
9,9,Shairo J,Ph politics is a joke,,False,2022-06-23 14:09:09,"@MeridaJoem @Jimparedes @serenity1434 @AlfredoGenom That is a very stupid statement. In a project, the President mostly ever work on the plans and the initial phase. Did Digong in his ""Build, Build, Build"" ever nail anything aside from women? If the plan is already set, what would the President even do? Just Dugong sightseeing?",,Twitter for Android,0
