,user_name,user_description,user_location,user_verification,date,text,hashtags,source,retweets
0,GeekysCorner,I draw on my main @GeekyTheArtist • I'm asexual biromantic and go by any pronouns under the sun • I joke around here to avoid my crippling anxiety,Gay Land With The Bois,False,2022-06-22 02:21:49,"European Polecat, Fallow Deer, False Killer Whale, Fat Tailed Dunnart, Fin Whale, Fox, Francois' Langur, Gazelle, Gelada Baboon, Domestic Goat, Golden Monkey, Gorilla, Grant's Gazelle, Grey Headed Flying Fox, Grey Seal, Grey Squirrel, Grey Whale, Grey Wolf, Grizzly Bear,",,Twitter for Android,0
1,Randy Brown,"#Resist No DMs. Vote blue! Biden/Harris! FlyEaglesFly! From Philly. Play guitar/stringed instruments, glassblowing & softball. I follow back, No Magas, Ever.","From Philly, now Palm Bay, Fl.",False,2022-06-17 20:17:26,"Who is this? This kind of reminds me of MTG, maybe Boebert?? Tough call. 😁

Actually, it's a Grey Headed Flying Fox. Native to Australia. They are 12"" tall &amp; they have a wingspan of 3'! Wow, how would people with long hair like to have that tangled up in it?! https://t.co/qT3PcSAVYg",,Twitter for Android,0
2,Ganga,Food | Australian | Hindu,"Adelaide, Australia",False,2022-06-15 23:57:10,"@dee2 @sister_ratched Remember the new ""bird"" sound that was keeping us awake some nights? &amp; has been back ev night since, only not as rowdy. I've been going back and forth between it's a bird, it's an animal.... But current consensus is it is --- a bat. A Grey headed flying fox.",,TweetDeck,0
3,LowOrderPrimate,"Nothing to see here, move along...","Death Star, Undisclosed Sector",False,2022-06-15 02:05:19,"Roofhanger. Suspended grey headed flying fox (Pteropus poliocephalus), a megabat native to Australia. https://t.co/nSc7rHvTEY",,Twitter for Android,1
4,Megan Davidson,love science-based healthcare. hate health scams. chiropteraphile.,"Melbourne, Australia",False,2022-06-14 06:12:54,@lecanardnoir Lovely to see you use one of my favourite Vivien Jones photos of grey headed flying fox (Pteropus poliocephalus) mother and baby.,,Twitter for Android,0
5,wasd,"Bot that makes fake bat facts.
Currently only for Pteropodoidea aka fruit bats.",Currently hiding in a cave,False,2022-06-21 12:42:52,Bat fact: The Comoro rousette enjoys being salient. 🦇,,"Cheap Bots, Done Quick!",0
6,OSSIFRAGEBOT,An ill-advised bot that likes zoology and creature design a little too much. - Direct questions/comments/suggestions to @adinfinitam!,,False,2022-06-17 12:52:24,What if it had the wings of a Short-tailed roundleaf bat?,,"Cheap Bots, Done Quick!",0
7,Lisa Hager,,,False,2022-06-20 09:14:19,"The Makira roundleaf bat (Hipposideros demissus) is a vulnerable species from the Solomon Islands.

(Photo Alchetron)",,Twitter Web App,0
8,Olga Alvarez,,,False,2022-06-17 00:05:23,"The Makira roundleaf bat (Hipposideros demissus) is a vulnerable species from the Solomon Islands.

(Photo Alchetron)",,Twitter Web App,0
9,Teresa Samuel,,,False,2022-06-16 03:45:01,"The Makira roundleaf bat (Hipposideros demissus) is a vulnerable species from the Solomon Islands.

(Photo Alchetron)",,Twitter Web App,0
10,Margie Pope,,,False,2022-06-16 01:31:48,"The Makira roundleaf bat (Hipposideros demissus) is a vulnerable species from the Solomon Islands.

(Photo Alchetron)",,Twitter Web App,0
11,Felicia Price,,,False,2022-06-15 23:38:04,"The Makira roundleaf bat (Hipposideros demissus) is a vulnerable species from the Solomon Islands.

(Photo Alchetron)",,Twitter Web App,0
12,EveryBat,"Posted every bat species on Earth, now going through them all again. Bat facts & pics. Mostly accurate, random bat order",Earth,False,2022-06-15 14:52:00,"The Makira roundleaf bat (Hipposideros demissus) is a vulnerable species from the Solomon Islands.

(Photo Alchetron) https://t.co/H3juG5e9T2",,TweetDeck,30
13,The Bat-signal,"Tweeting random crucial bat facts from Wikipedia. This bot is written in #Rstats, code available on github. Made by @hammerheadbat. Avatar by @Blackmudpuppy",,False,2022-06-20 18:02:05,Hill's roundleaf bat: It meets the criteria for this designation because it has a potentially limited habitat for roosting. Habitat loss is ongoing through deforestation. https://t.co/aAVOl7wK2z #bats,,Bat fact tweeting,0
14,OSSIFRAGEBOT,An ill-advised bot that likes zoology and creature design a little too much. - Direct questions/comments/suggestions to @adinfinitam!,,False,2022-06-17 22:53:03,"What if it was a Aellen's roundleaf bat, with some features of a(n) Plumbeous Antvireo?",,"Cheap Bots, Done Quick!",0
15,EveryBat,"Posted every bat species on Earth, now going through them all again. Bat facts & pics. Mostly accurate, random bat order",Earth,False,2022-06-17 14:53:00,"The Natal long-fingered bat (Miniopterus natalensis).

(Photo bioinformatica) https://t.co/0rcWoAJ8V5",,TweetDeck,65
16,OSSIFRAGEBOT,An ill-advised bot that likes zoology and creature design a little too much. - Direct questions/comments/suggestions to @adinfinitam!,,False,2022-06-20 05:54:37,What if you mashed a Velvety fruit-eating bat and a White-bellied free-tailed bat AND a fish together?,,"Cheap Bots, Done Quick!",0
17,martyn sidwell,Keen Cleveland & Co Durham birder & photographer.  I enjoy all wildlife & travel,Middlesbrough,False,2022-06-23 17:04:23,We found this roosting group of Azores Noctule bats in a small cave in one of the Ponta Delgada Botanical Gardens.  Taken without flash in near darkness. Azores Noctule can often be seen flying in daytime in forested areas. https://t.co/TfEen49zTY,,Twitter Web App,0
18,Trinket Sorceress💫,"🌙| Hey, I’m Katie | Designer of headphone attachments for all aesthetics | •Gamer •3D Artist •Weeb | No Customs |",,False,2022-06-18 15:26:19,"Got to do these vibrant yellow bat wings for an order ✨ 
#Gamers #streamers #GamingSetup #aesthetic https://t.co/oO47FMVWB4","[{'text': 'Gamers', 'indices': [57, 64]}, {'text': 'streamers', 'indices': [65, 75]}, {'text': 'GamingSetup', 'indices': [76, 88]}, {'text': 'aesthetic', 'indices': [89, 99]}]",Twitter for iPhone,0
19,Everglades National Park,America’s Everglades—The largest subtropical wilderness in the United States.,South Florida,True,2022-06-20 20:35:30,"Did you know, the Everglades is home to five bat species including the endangered Florida bonneted bat?

Can you name another pollinator species found in the Everglades?",,Twitter Web App,1
20,Mizu Ming,"I'm kind of boring, sorry to anyone who chooses to follow me. 😥 I like anime/manga, playing video games and I'm a big time simp for BG3's Astarion. 💘",,False,2022-06-23 04:50:08,@BaguetteMagiqu7 What's this he is not accepting a little bit of goblin blood? And here I thought he said they wouldn't bat an eye if you sipped a little bit. 😋,,Twitter for Android,0
